"Receipt Settings","Pengaturan Struk",""
"Hardware","Perangkat",""
"POS Profile","Profil POS",""
"Network connection error","Tidak ada koneksi jaringan.",""
"Session expired, please login again","Sesi telah berakhir. Silakan masuk kembali.",""
"Insufficient stock for {0}","Stok {0} tidak cukup",""
"Invalid quantity","Jumlah tidak valid",""
"Please select a customer","Pilih pelanggan terlebih dahulu",""
"Payment processing failed","Pembayaran gagal",""
"An unexpected error occurred","Terjadi kesalahan yang tidak terduga.",""
"This field is required","Kolom ini wajib diisi.",""
"Minimum length is {0} characters","Panjang minimum adalah {0} karakter",""
"Maximum length is {0} characters","Panjang maksimum adalah {0} karakter",""
"Please enter a valid email address","Alamat email tidak valid",""
"Please enter a valid phone number","Nomor telepon tidak valid",""
"Please enter a valid number","Masukkan angka yang valid",""
"Value must be positive","Nilai harus positif.",""
"Customer Credit","Kredit Pelanggan",""
"Available Credit","Kredit Tersedia",""
"Payment Methods","Metode Pembayaran",""
"Cash","Uang Tunai",""
"Card","Kartu Bank",""
"Wallet","Dompet Elektronik",""
"Bank Transfer","Transfer Bank",""
"Item","Item",""
"Items","Item",""
"1 item","1 Item",""
"{0} items","{0} item",""
"Invoice Summary","Ringkasan Faktur",""
"Quantity","Kuantitas",""
"Price","Harga",""
"Subtotal","Subtotal",""
"Custom Amount","Jumlah Kustom",""
"Enter amount","Masukkan jumlah",""
"Apply","Terapkan",""
"Apply Coupon","Terapkan Kupon",""
"Coupon Code","Kode Kupon",""
"Remove","Hapus",""
"Add","Tambah",""
"Update","Perbarui",""
"Refresh","Segarkan",""
"Reload","Muat ulang",""
"Print","Cetak",""
"Download","Unduh",""
"Upload","Unggah",""
"Import","Impor",""
"Export","Ekspor",""
"Filter","Saring",""
"Sort","Sortir",""
"Ascending","Naik",""
"Descending","Turun",""
"All","Semua",""
"None","Tidak Ada",""
"Select All","Pilih Semua",""
"Deselect All","Batalkan Semua Pilihan",""
"Name","Nama",""
"Email","Email",""
"Phone","Telepon",""
"Address","Alamat",""
"City","Kota",""
"State","Provinsi",""
"Country","Negara",""
"Postal Code","Kode Pos",""
"Notes","Catatan",""
"Description","Keterangan",""
"Category","Kategori",""
"Type","Jenis",""
"Unit","Unit",""
"Stock","Stok",""
"Available","Tersedia",""
"Out of Stock","Stok Habis",""
"Low Stock","Stok Menipis",""
"In Stock","Stok Tersedia",""
"Barcode","Barcode",""
"SKU","Kode Barang (SKU)",""
"Image","Gambar",""
"Gallery","Galeri",""
"Product","Produk",""
"Products","Produk",""
"Service","Layanan",""
"Services","Layanan",""
"Order","Pesanan",""
"Orders","Pesanan",""
"Invoice","Faktur",""
"Invoices","Faktur",""
"Payment","Pembayaran",""
"Payments","Pembayaran",""
"Receipt","Struk",""
"Receipts","Penerimaan",""
"Refund","Pengembalian Dana",""
"Refunds","Pengembalian Dana",""
"Return","Pengembalian",""
"Returns","Pengembalian",""
"Sale","Penjualan",""
"Sales","Penjualan",""
"Purchase","Pembelian",""
"Purchases","Pembelian",""
"Report","Laporan",""
"Reports","Laporan",""
"Dashboard","Dasbor",""
"Home","Beranda",""
"Profile","Profil",""
"Account","Akun",""
"Logout","Keluar",""
"Login","Masuk",""
"Sign In","Masuk",""
"Sign Up","Daftar",""
"Register","Pendaftaran",""
"Password","Kata Sandi",""
"Username","Nama Pengguna",""
"Remember Me","Ingatkan Saya",""
"Forgot Password?","Lupa Kata Sandi?",""
"Reset Password","Atur Ulang Kata Sandi",""
"Change Password","Ganti Kata Sandi",""
"Old Password","Kata Sandi Lama",""
"New Password","Kata Sandi Baru",""
"Confirm Password","Konfirmasi Kata Sandi",""
"Today","Hari Ini",""
"Yesterday","Kemarin",""
"This Week","Minggu Ini",""
"Last Week","Minggu Lalu",""
"This Month","Bulan Ini",""
"Last Month","Bulan Lalu",""
"This Year","Tahun Ini",""
"Last Year","Tahun Lalu",""
"Custom Range","Periode Kustom",""
"From","Dari",""
"To","Ke",""
"Start Date","Tanggal Mulai",""
"End Date","Tanggal Selesai",""
"Time","Waktu",""
"Hour","Jam",""
"Hours","Jam",""
"Minute","Menit",""
"Minutes","Menit",""
"Second","Detik",""
"Seconds","Detik",""
"Day","Hari",""
"Days","Hari",""
"Week","Minggu",""
"Weeks","Minggu",""
"Month","Bulan",""
"Months","Bulan",""
"Year","Tahun",""
"Years","Tahun",""
"Are you sure?","Anda Yakin?",""
"This action cannot be undone","Tindakan ini tidak bisa dibatalkan",""
"Confirm Delete","Konfirmasi Penghapusan",""
"Confirm Action","Konfirmasi Tindakan",""
"Processing...","Memproses...",""
"Please wait...","Mohon tunggu...",""
"Saving...","Menyimpan...",""
"Loading data...","Memuat data...",""
"No data available","Tidak ada data yang tersedia",""
"No results found","Tidak ada hasil yang ditemukan",""
"Search results","Hasil pencarian",""
"Showing {0} to {1} of {2} entries","Menampilkan {0} sampai {1} dari {2} entri",""
"Page","Halaman",""
"Previous","Sebelumnya",""
"Next","Lanjut",""
"First","Pertama",""
"Last","Terakhir",""
"per page","per halaman",""
"View","Lihat",""
"View Shift","Lihat Shift",""
"View Details","Lihat Detail",""
"Edit Details","Ubah Detail",""
"Copy","Salin",""
"Duplicate","Gandakan",""
"Archive","Arsip",""
"Restore","Pulihkan",""
"Move","Pindah",""
"Rename","Ganti Nama",""
"Share","Bagikan",""
"Download PDF","Unduh PDF",""
"Send Email","Kirim Email",""
"Print Invoice","Cetak Faktur",""
"Email Invoice","Kirim Faktur via Email",""
"Mark as Paid","Tandai sebagai Dibayar",""
"Mark as Unpaid","Tandai sebagai Belum Bayar",""
"Payment Received","Pembayaran Diterima",""
"Payment Pending","Pembayaran Tertunda",""
"Payment Failed","Pembayaran Gagal",""
"Completed","Selesai",""
"Pending","Tertunda",""
"Processing","Memproses",""
"Refunded","Dikembalikan",""
"Submitted","Terkirim",""
"Approved","Disetujui",""
"Rejected","Ditolak",""
"Active","Aktif",""
"Inactive","Tidak Aktif",""
"Enabled","Diaktifkan",""
"Disabled","Tidak Diaktifkan",""
"Online","Online",""
"Offline","Offline",""
"Connected","Terhubung",""
"Disconnected","Terputus",""
"Synced","Tersinkronisasi",""
"Not Synced","Tidak Tersinkronisasi",""
"Syncing...","Menyinkronkan...",""
"Last Sync","Sinkronisasi Terakhir",""
"Sync Now","Sinkronkan Sekarang",""
"Auto Sync","Sinkronisasi Otomatis",""
"Manual Sync","Sinkronisasi Manual",""
"Clear Cache","Hapus Cache",""
"Reset Settings","Atur Ulang Pengaturan",""
"Restore Defaults","Pulihkan Pengaturan Bawaan",""
"About","Tentang",""
"Help","Bantuan",""
"Support","Dukungan",""
"Documentation","Dokumentasi",""
"Version","Versi",""
"License","Lisensi",""
"Privacy Policy","Kebijakan Privasi",""
"Terms of Service","Ketentuan Layanan",""
"Contact Us","Hubungi Kami",""
"Feedback","Masukan",""
"Rate Us","Nilai Kami",""
"More","Lainnya",""
"Less","Lebih sedikit",""
"Show More","Tampilkan Lebih Banyak",""
"Show Less","Tampilkan Lebih Sedikit",""
"Expand","Perluas",""
"Collapse","Perkecil",""
"Full Screen","Layar Penuh",""
"Exit Full Screen","Keluar dari Layar Penuh",""
"Shift Open:","Shift Dibuka:",""
"Offline ({0} pending)","Offline ({0} tertunda)",""
"Online - Click to sync","Online - Klik untuk menyinkronkan",""
"Offline mode active","Mode offline aktif",""
"Online mode active","Mode online aktif",""
"Cache","Cache",""
"Items:","Item:",""
"Last Sync:","Sinkronisasi Terakhir:",""
"Auto-Sync:","Sinkronisasi Otomatis:",""
"Refreshing...","Menyegarkan...",""
"Refresh Items","Segarkan Item",""
"Refreshing items...","Menyegarkan item...",""
"Refresh items list","Segarkan daftar item",""
"Empty","Kosong",""
"Syncing","Sinkronisasi",""
"Ready","Siap",""
"Never","Belum Pernah",""
"Cache empty","Cache Kosong",""
"Cache syncing","Sinkronisasi Cache",""
"Cache ready","Cache Siap",""
"Access your point of sale system","Akses ke sistem penjualan Anda",""
"Your cart is empty","Keranjang Masih Kosong",""
"Cart Items","Item Keranjang",""
"Clear","Hapus",""
"Last 7 Days","7 hari terakhir",""
"Last 30 Days","30 hari terakhir",""
"All Status","Semua Status",""
"Partly Paid","Dibayar Sebagian",""
"Overdue","Jatuh Tempo",""
"Negative Stock","Stok Negatif",""
"Cart","Keranjang",""
"Welcome to POS Next","Selamat Datang di POS Next",""
"Please open a shift to start making sales","Silakan buka shift baru untuk mulai berjualan.",""
"Clear Cart?","Kosongkan Keranjang?",""
"Remove all {0} items from cart?","Apakah Anda ingin menghapus semua item ({0}) dari keranjang?",""
"Clear All","Hapus Semua",""
"Sign Out Confirmation","Konfirmasi Keluar",""
"Your Shift is Still Open!","Shift Anda Masih Terbuka!",""
"Close your shift first to save all transactions properly","Tutup shift Anda terlebih dahulu untuk menyimpan semua transaksi dengan benar.",""
"Close Shift & Sign Out","Tutup Shift & Keluar",""
"Skip & Sign Out","Lewati & Keluar",""
"Sign Out?","Ingin Keluar?",""
"You will be logged out of POS Next","Anda akan keluar dari POS Next.",""
"Sign Out","Keluar",""
"Signing Out...","Keluar...",""
"Invoice Created Successfully","Faktur Berhasil Dibuat",""
"Invoice {0} created successfully!","Faktur {0} berhasil dibuat!",""
"Total: {0}","Total: {0}",""
"An unexpected error occurred.","Terjadi kesalahan yang tidak terduga.",""
"Delete Invoice","Hapus Faktur",""
"Try Again","Ulangi Lagi",""
"Tax mode updated. Cart recalculated with new tax settings.","Mode pajak telah diperbarui. Keranjang belanja telah dihitung ulang.",""
"Discount settings changed. Cart recalculated.","Pengaturan diskon telah diperbarui. Keranjang belanja telah dihitung ulang.",""
"Prices are now tax-exclusive. This will apply to new items added to cart.","Harga yang tertera belum termasuk pajak (untuk barang baru).",""
"Negative stock sales are now allowed","Penjualan dengan stok negatif diperbolehkan",""
"Negative stock sales are now restricted","Penjualan dengan stok negatif tidak diperbolehkan.",""
"Credit Sale","Penjualan Kredit",""
"Write Off Change","Hapus Kembalian",""
"Partial Payment","Pembayaran Sebagian",""
"Silent Print","Cetak Langsung",""
"{0} settings applied immediately","{0} pengaturan diterapkan segera",""
"You can now start making sales","Anda dapat berjualan sekarang",""
"Shift closed successfully","Shift berhasil ditutup",""
"Insufficient Stock","Stok tidak mencukupi",""
"Item: {0}","Item: {0}",""
"\{0}\"" cannot be added to cart. Bundle is out of stock. Allow Negative Stock is disabled.""","\{0}\"" tidak dapat ditambahkan ke keranjang. Stok paket item habis. Stok Negatif tidak aktif.""",""
"\{0}\"" cannot be added to cart. Item is out of stock. Allow Negative Stock is disabled.""","\{0}\"" tidak dapat ditambahkan ke keranjang. Stok item habis. Stok Negatif tidak aktif.""",""
"Please add items to cart before proceeding to payment","Mohon tambahkan item ke keranjang belanja Anda sebelum melakukan pembayaran",""
"Please select a customer before proceeding","Silakan pilih pelanggan terlebih dahulu.",""
"Invoice saved offline. Will sync when online","Faktur telah disimpan secara lokal (offline). Faktur tersebut akan disinkronkan nanti",""
"Unknown","Tidak diketahui",""
"Invoice {0} created and sent to printer","Faktur {0} dibuat dan dikirim ke printer",""
"Invoice {0} created but print failed","Faktur {0} telah dibuat tetapi pencetakan gagal",""
"Invoice {0} created successfully","Faktur {0} berhasil dibuat",""
"All items removed from cart","Keranjang dikosongkan",""
"{0} added to cart","{0} telah ditambahkan ke keranjang",""
"{0} ({1}) added to cart","{0} ({1}) telah ditambahkan ke keranjang",""
"Failed to process selection. Please try again.","Proses memilih gagal. Silakan coba lagi",""
"Return invoice {0} created successfully","Faktur pengembalian {0} berhasil dibuat",""
"Creating return for invoice {0}","Membuat faktur pengembalian untuk faktur {0}",""
"{0} created and selected","{0} dibuat dan dipilih",""
"All cached data has been cleared successfully","Semua data cache berhasil dihapus",""
"Failed to clear cache. Please try again.","Cache gagal dihapus. Silakan coba lagi.",""
"Your point of sale system is ready to use.","Kasir Anda sudah siap digunakan.",""
"Shift Status","Status Shift",""
"Shift is Open","Shift Sedang Terbuka",""
"Start Sale","Mulai Berjualan",""
"No Active Shift","Tidak Ada Shift Aktif",""
"You need to open a shift before you can start making sales.","Buka shift dulu sebelum mulai berjualan.",""
"System Test","Pengujian Sistem",""
"Test Connection","Uji Koneksi",""
"✓ Connection successful: {0}","✓ Koneksi berhasil: {0}",""
"✗ Connection failed: {0}","✗ Koneksi gagal: {0}",""
"Confirm Sign Out","Konfirmasi Keluar",""
"Active Shift Detected","Shift Aktif Terdeteksi",""
"You have an active shift open. Would you like to:","Anda punya shift yang masih terbuka. Pilih:",""
"Are you sure you want to sign out of POS Next?","Apakah Anda yakin ingin keluar dari POS Next?",""
"Sign Out Only","Hanya Keluar",""
"TAX INVOICE","FAKTUR PAJAK",""
"Invoice #:","Faktur #:",""
"Date:","Tanggal:",""
"Customer:","Pelanggan:",""
"PARTIAL PAYMENT","PEMBAYARAN SEBAGIAN",""
"(FREE)","(GRATIS)",""
"Subtotal:","Subtotal:",""
"Tax:","Pajak:",""
"TOTAL:","TOTAL:",""
"Total Paid:","Total yang Dibayar:",""
"Change:","Kembalian:",""
"BALANCE DUE:","Sisa Tagihan:",""
"Thank you for your business!","Terima kasih telah berbelanja!",""
"Offline invoice deleted successfully","Faktur (yang belum diproses) berhasil dihapus",""
"Failed to delete offline invoice","Penghapusan faktur gagal",""
"Cannot sync while offline","Tidak dapat melakukan sinkronisasi saat offline",""
"{0} invoice(s) synced successfully","{0} faktur berhasil disinkronkan",""
"Loading customers for offline use...","Sedang memuat data pelanggan untuk penggunaan offline...",""
"Data is ready for offline use","Data siap untuk digunakan secara offline.",""
"Some data may not be available offline","Beberapa data mungkin tidak tersedia secara offline.",""
"POS is offline without cached data. Please connect to sync.","Sistem sedang offline dan tidak ada data yang tersimpan. Silakan sambungkan ke internet.",""
"{0} applied successfully","{0} berhasil diterapkan",""
"Discount has been removed from cart","Diskon telah dihapus dari keranjang belanja.",""
"Add items to the cart before applying an offer.","Tambahkan item ke keranjang sebelum menerapkan penawaran.",""
"Your cart doesn't meet the requirements for this offer.","Keranjang Anda tidak memenuhi persyaratan untuk penawaran ini.",""
"Failed to apply offer. Please try again.","Penawaran gagal diterapkan. Silakan coba lagi.",""
"Offer has been removed from cart","Penawaran telah dihapus dari keranjang belanja",""
"Failed to update cart after removing offer.","Gagal memperbarui keranjang belanja setelah menghapus penawaran.",""
"Unit changed to {0}","Unit diubah menjadi {0}",""
"Failed to update UOM. Please try again.","Gagal memperbarui UOM. Silakan coba lagi.",""
"{0} updated successfully","{0} berhasil diperbarui",""
"Failed to update item. Please try again.","Gagal memperbarui item. Silakan coba lagi.",""
"{0}h {1}m {2}s","{0}j {1}m {2}s",""
"Sync Complete","Sinkronisasi selesai",""
"Search by phone: {0}","Cari berdasarkan telepon: {0}",""
"Search by email: {0}","Cari berdasarkan email: {0}",""
"Create new customer: {0}","Buat pelanggan baru: {0}",""
"From {0}","Dari {0}",""
"Until {0}","Sampai {0}",""
"Validation Error","Kesalahan Validasi",""
"Permission Denied","Izin Ditolak",""
"Not Found","Tidak Ditemukan",""
"Server Error","Kesalahan Server",""
"Not enough stock available in the warehouse.\n\nPlease reduce the quantity or check stock availability.","Stok di gudang tidak mencukupi.\n\nMohon kurangi jumlahnya atau periksa ketersediaan stok.",""
"Pricing Error","Kesalahan Harga",""
"Customer Error","Kesalahan Pelanggan",""
"Tax Configuration Error","Kesalahan Konfigurasi Pajak",""
"Payment Error","Kesalahan Pembayaran",""
"Naming Series Error","Kesalahan Penamaan Seri",""
"Connection Error","Kesalahan Koneksi",""
"Unable to connect to server. Check your internet connection.","Tidak dapat terhubung ke server. Periksa koneksi internet Anda.",""
"Duplicate Entry","Entri Duplikat",""
"Error Report - POS Next","Laporan Kesalahan - POS Next",""
"Title: {0}","Judul: {0}",""
"Type: {0}","Jenis: {0}",""
"Message: {0}","Pesan: {0}",""
"Technical: {0}","Teknis: {0}",""
"Timestamp: {0}","Waktu: {0}",""
"User: {0}","Pengguna: {0}",""
"POS Profile: {0}","Profil POS: {0}",""
"Partial Payments","Pembayaran Sebagian",""
"Manage invoices with pending payments","Kelola faktur dengan pembayaran yang tertunda",""
"{0} invoice - {1} outstanding","{0} faktur - {1} belum dibayar",""
"{0} invoices - {1} outstanding","{0} faktur - {1} belum dibayar",""
"Loading invoices...","Memuat faktur...",""
"No Partial Payments","Tidak ada pembayaran sebagian",""
"All invoices are either fully paid or unpaid","Semua faktur dalam kondisi lunas atau belum lunas",""
"Add Payment","Tambahkan Pembayaran",""
"Payment History","Riwayat Pembayaran",""
"Failed to load partial payments","Gagal memuat pembayaran sebagian",""
"Payment added successfully","Pembayaran berhasil ditambahkan.",""
"Failed to add payment","Gagal menambahkan pembayaran",""
"Open POS Shift","Buka POS Shift",""
"Select POS Profile","Pilih Profil POS",""
"No POS Profiles available. Please contact your administrator.","Tidak ada POS Profil yang tersedia. Mohon kontak pihak Administrasi.",""
"Change Profile","Ganti Profil",""
"Opening Balance (Optional)","Saldo awal (opsional)",""
"No payment methods configured for this POS Profile","Belum ada metode pembayaran yang diatur untuk Profil POS ini",""
"Existing Shift Found","Shift yang Terbuka",""
"You have an open shift. Would you like to resume it or close it and open a new one?","Anda memiliki shift yang terbuka. Apakah Anda ingin melanjutkannya atau menutupnya dan membuat shift baru?",""
"<strong>POS Profile:</strong> {0}","<strong>Profil POS:</strong> {0}",""
"<strong>Opened:</strong> {0}","<strong>Dibuka:</strong> {0}",""
"Resume Shift","Lanjutkan Shift",""
"Close & Open New","Tutup & Buat Baru",""
"Back","Kembali",""
"At least {0} items required","Setidaknya {0} item diperlukan",""
"Maximum {0} items allowed for this offer","Maksimal {0} item untuk penawaran ini",""
"Minimum cart value of {0} required","Nilai minimum yang dibutuhkan untuk keranjang adalah {0}",""
"Maximum cart value exceeded ({0})","Nilai keranjang melebihi batas ({0})",""
"Cart does not contain eligible items for this offer","Keranjang belanja tidak berisi item apa pun yang memenuhi syarat untuk penawaran ini",""
"Cart does not contain items from eligible groups","Keranjang belanja tidak berisi item dari kelompok yang memenuhi syarat",""
"Cannot save an empty cart as draft","Keranjang kosong tidak dapat disimpan sebagai draf",""
"Invoice saved as draft successfully","Faktur berhasil disimpan sebagai draf",""
"Failed to save draft","Gagal menyimpan draf",""
"Draft invoice loaded successfully","Draf faktur berhasil dimuat",""
"Failed to load draft","Gagal memuat draf",""
"Close POS Shift","Tutup POS Shift",""
"Loading shift data...","Memuat data shift...",""
"Calculating totals and reconciliation...","Menghitung total dan rekonsiliasi...",""
"Duration","Durasi",""
"Total Sales","Total Penjualan",""
"{0} invoices","{0} faktur",""
"Net Amount","Jumlah Bersih",""
"Before tax","Sebelum Pajak",""
"Items Sold","Item yang Terjual",""
"Total items","Total Item",""
"Tax Collected","Pajak yang Dipungut",""
"Total tax","Total Pajak",""
"No Sales During This Shift","Tidak ada penjualan pada shift ini",""
"No invoices were created. Closing amounts should match opening amounts.","Tidak ada faktur yang dibuat. Jumlah penutupan harus sesuai dengan jumlah pembukaan.",""
"Invoice Details","Detail Faktur",""
"{0} transactions • {1}","{0} transaksi • {1}",""
"N/A","N/A",""
"Total:","Total:",""
"Payment Reconciliation","Rekonsiliasi Pembayaran",""
"Count your cash and enter actual amounts below","Hitung uang tunai, lalu masukkan jumlah sebenarnya di bawah ini.",""
"✓ Shift Closed","✓ Shift telah ditutup",""
"Total Variance","Total Selisih",""
"Enter actual amount for {0}","Masukkan jumlah sebenarnya untuk {0}",""
"Expected: <span class=\font-medium\"">{0}</span>""","Ekspektasi: <span class=""font-medium"">{0}</span>",""
"✓ Balanced","✓ Seimbang",""
"Over {0}","Kelebihan {0}",""
"Short {0}","Kekurangan {0}",""
"Opening","Pembukaan",""
"Shift start","Saat Dimulai",""
"Expected","Ekspektasi",""
"No sales","Tidak ada penjualan",""
"Actual Amount *","Jumlah Aktual *",""
"Final Amount","Jumlah akhir",""
"Count & enter","Hitung & isi",""
"Cash Over","Kelebihan Uang Tunai",""
"Cash Short","Kekurangan Uang Tunai",""
"You have more than expected.","Kas lebih dari seharusnya.",""
"You have less than expected.","Kas kurang dari seharusnya.",""
"Total Expected","Total Ekspektasi",""
"Total Actual","Total Aktual",""
"Net Variance","Selisih Bersih",""
"Tax Summary","Ringkasan Pajak",""
"Total Tax Collected","Jumlah pajak yang dipungut",""
"Error Closing Shift","Terjadi kesalahan saat menutup shift",""
"Dismiss","Tutup",""
"Failed to Load Shift Data","Gagal memuat data shift",""
"Please enter all closing amounts","Harap masukkan semua jumlah penutupan shift",""
"✓ Shift closed successfully","✓ Shift berhasil ditutup",""
"Closing Shift...","Menutup Shift...",""
"{0}h {1}m","{0}jam {1}menit",""
"{0}m","{0}menit",""
"-- Select --","-- Pilih --",""
"Search and select a customer for the transaction","Cari dan pilih pelanggan untuk transaksi tersebut",""
"Search customers by name, mobile, or email...","Cari pelanggan berdasarkan nama, nomor ponsel, atau email...",""
"Search customers","Cari pelanggan",""
"⭐ Recent & Frequent","⭐ Terbaru & Sering",""
"{0} of {1} customers","{0} dari {1} pelanggan",""
"• Use ↑↓ to navigate, Enter to select","• Gunakan ↑↓ untuk navigasi, Enter untuk memilih",""
"Loading customers...","Sedang memuat pelanggan...",""
"No customers available","Tidak ada pelanggan yang tersedia",""
"Create your first customer to get started","Buat pelanggan pertama Anda untuk memulai",""
"No results for \{0}\""""","Tidak ada hasil untuk ""{0}""",""
"Try a different search term or create a new customer","Coba istilah pencarian lain atau buat pelanggan baru",""
"+ Create New Customer","+ Buat Pelanggan Baru",""
"All Items","Semua Item",""
"Consumable","Item Habis Pakai",""
"Raw Material","Bahan Mentah",""
"Sub Assemblies","Bahan Rakitan",""
"Syncing catalog in background... {0} items cached","Menyinkronkan katalog di latar belakang... {0} item di-cache",""
"Search items","Cari Item",""
"Barcode Scanner: ON (Click to disable)","Pemindai Barcode: AKTIF (klik untuk matikan)",""
"Barcode Scanner: OFF (Click to enable)","Pemindai Barcode: MATI (klik untuk aktifkan)",""
"Disable barcode scanner","Matikan pemindai barcode",""
"Enable barcode scanner","Aktifkan pemindai barcode",""
"Auto-Add: ON - Press Enter to add items to cart","Tambah Otomatis: AKTIF - tekan Enter untuk menambah item ke keranjang",""
"Auto-Add: OFF - Click to enable automatic cart addition on Enter","Tambah Otomatis: MATI - klik untuk mengaktifkan tambah otomatis saat Enter",""
"Disable auto-add","Matikan tambah otomatis",""
"Enable auto-add","Aktifkan tambah otomatis",""
"Auto","Otomatis",""
"Grid View","Tampilan Kotak",""
"Switch to grid view","Beralih ke tampilan kotak",""
"List View","Tampilan Daftar",""
"Switch to list view","Beralih ke tampilan daftar",""
"Sorted by {0} A-Z","Urutan Berdasarkan {0} A-Z",""
"Sorted by {0} Z-A","Urutan Berdasarkan {0} Z-A",""
"Sort items","Urutkan Item",""
"Sort Items","Urutkan Item",""
"No Sorting","Tanpa Urutan",""
"Loading items...","Memuat Item...",""
"No results for {0} in {1}","Tidak ada hasil untuk {0} di {1}",""
"No results in {0}","Tidak ada hasil di {0}",""
"No results for {0}","Tidak ada hasil untuk {0}",""
"No items available","Tidak ada item yang tersedia",""
"{0}: {1} {2}","",""
"Nos","",""
"Check availability in other warehouses","Periksa ketersediaan di gudang lain",""
"Check Availability in All Wherehouses","Periksa ketersediaan di semua gudang",""
"Selected","Terpilih",""
"Check warehouse availability","Periksa ketersediaan gudang",""
"Loading more items...","Memuat lebih banyak item...",""
"All items loaded","Semua item telah dimuat",""
"{0} items found","{0} Item ditemukan",""
"{0} - {1} of {2}","{0} - {1} dari {2}",""
"Go to first page","Ke halaman pertama",""
"Go to previous page","Kembali ke halaman sebelumnya",""
"Go to page {0}","Buka halaman {0}",""
"Go to next page","Lanjut ke halaman berikutnya",""
"Go to last page","Ke halaman terakhir",""
"Code","Kode Item",""
"Rate","Harga",""
"Qty","Kuantitas",""
"UOM","UOM",""
"{0}: {1} Bundles","{0}: {1} Paket Item",""
"Auto-Add ON - Type or scan barcode","Tambah Otomatis AKTIF - ketik atau pindai barcode",""
"Scanner ON - Enable Auto for automatic addition","Pemindai AKTIF - aktifkan Tambah Otomatis agar item langsung masuk keranjang",""
"Search by item code, name or scan barcode","Cari berdasarkan kode item, nama, atau pemindaian barcode",""
"Item Not Found: No item found with barcode: {0}","Item Tidak Ditemukan: tidak ada item dengan barcode {0}",""
"Multiple Items Found: {0} items match barcode. Please refine search.","Beberapa Item Ditemukan: {0} item cocok. Persempit pencarian.",""
"Multiple Items Found: {0} items match. Please select one.","Beberapa Item Ditemukan: {0} item cocok. Silakan pilih salah satu.",""
"Loading invoice details...","Memuat detail faktur...",""
"Return Against:","Pengembalian Dari:",""
"Grand Total","Jumlah Total",""
"Taxes:","Pajak:",""
"Net Total:","Total Bersih:",""
"Discount:","Diskon:",""
"Grand Total:","Jumlah Total:",""
"Paid Amount:","Jumlah yang Dibayar:",""
"Outstanding:","Sisa Tagihan:",""
"Summary","Ringkasan",""
"Remarks","Catatan",""
"Failed to load invoice details","Gagal memuat detail faktur",""
"Warehouse Availability","Ketersediaan Gudang",""
"Close dialog","Tutup dialog",""
"Checking warehouse availability...","Sedang memeriksa ketersediaan gudang...",""
"Actual Stock:","Stok Aktual:",""
"This item is out of stock in all warehouses","Stok item ini habis di semua gudang",""
"Total Available:","Total Tersedia:",""
